situation elements:2
	8|Gen|5535
	31|Date|2018-02-10 02:17:18.704000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:848.83033036
			high24hr:862.00000000
			highestbid:848.83033067
			percentchange:0.03879819
			low24hr:778.66740711
			lowestask:851.93125154
			candle300|288
				1518146100|804.00000020|799.81484038|799.81484038|804.00000008|802.32178304|19909.48963524
				1518145800|807.89999975|803.96000007|806.99999988|807.89999975|804.83996305|3792.49956516
				1518145500|807.99999990|804.93075350|807.89999991|807.99999990|805.96338600|5733.84229877
				1518145200|809.00000000|806.27537730|806.27537730|809.00000000|807.91734985|307.23918871
				1518144900|811.90299989|807.67000000|811.90299872|811.90299989|808.69263007|5530.67932009
				1518144600|812.00000000|805.62091628|812.00000000|805.62091628|809.78381921|13047.59560505
				1518144300|805.62091628|801.32869983|805.62091628|801.32899789|804.75931838|12041.16571169
				1518144000|801.32899879|796.70000006|801.32899879|796.70000006|801.13667690|501.51869787
				1518143700|801.32899990|796.29551543|796.29551673|801.32899990|798.80321544|3982.35792772
				1518143400|801.32899985|795.93763807|801.32899985|798.79565522|798.63455678|8898.25194125
				1518143100|801.32899985|796.79565474|796.79565551|799.00000003|799.56476385|2334.45654681
				1518142800|801.32899918|796.79565484|799.00000000|798.69055249|800.19710018|7285.90576053
				1518142500|801.32899982|798.69055246|798.69055246|800.99999993|800.76169778|12464.17099784
				1518142200|803.98674669|798.69055246|800.99999993|803.97741216|803.37051468|30768.95066879
				1518141900|803.98674670|803.70600000|803.98674669|803.70600000|803.93486612|4120.93159919
				1518141600|803.70600000|798.00000000|802.00000003|799.00000000|801.12986087|5878.98696859
				1518141300|800.99999986|798.00000009|799.00000000|800.80540533|800.02526613|48443.23678221
				1518141000|800.80540563|796.00000000|800.80540536|797.56619566|798.39403855|18744.30345724
				1518140700|798.47145521|794.23000000|797.88145522|798.47145521|796.60524341|12116.87597804
				1518140400|798.59534068|792.67399657|793.25475077|792.67399657|795.71612804|37893.89629915
				1518140100|792.67399657|789.43684847|792.67399657|790.99999990|791.96542189|6316.02778911
				1518139800|792.63684818|787.00000001|792.63684799|787.55223774|787.09046679|7397.95615834
				1518139500|797.07289991|787.55223774|787.55223774|797.07289991|790.89841791|69638.10906857
				1518139200|797.55213701|787.00000003|797.07289990|791.49999989|793.55905560|36598.19696094
				1518138900|791.00000001|786.91948346|790.42565308|787.37741113|788.36127598|69945.73340373
				1518138600|790.21588776|786.91948345|787.20000000|786.91948364|788.41649647|23274.21338449
				1518138300|790.30383763|785.96500002|786.91948364|787.50032478|787.10359303|42831.26447022
				1518138000|793.46956184|786.47500002|788.94999997|793.39650000|790.70240568|50140.33973672
				1518137700|796.51170200|791.31204098|792.01801187|791.31204098|794.94262498|62288.86630791
				1518137400|793.88782476|788.57338126|791.06338144|793.00000000|792.39138502|121566.71343373
